日期,ndcg,mrr,kendall_tau_distance
2021-11-27,1.0,1.0,0
2021-11-28,1.0,1.0,0.0
2021-11-29,0.9605584440737349,0.14285714285714285,0.21428571428571427
2021-11-30,0.9506894001173811,0.2,0.5
2021-12-01,0.875720670599556,0.2,0.5
2021-12-02,0.9922318164774171,1.0,0.23809523809523808
2021-12-03,0.7816336157586943,0.125,0.4166666666666667
2021-12-04,1.0,0.5,0.0
2021-12-05,1.0,0.5,0.0
2021-12-06,0.8949695742483369,0.3333333333333333,0.25
2021-12-07,0.87651782561807,0.25,0.25
2021-12-09,0.9532814143156267,0.5,0.047619047619047616
2021-12-11,1.0,0.16666666666666666,0.0
2021-12-12,1.0,0.1111111111111111,0.0
2021-12-13,0.9966057699841488,0.2,0.08571428571428572
2021-12-14,0.9973731674118251,0.2,0.08791208791208792
2021-12-16,0.9516876225976681,0.3333333333333333,0.16363636363636364
2021-12-18,0.9034938183720326,0.2,0.24166666666666667
2021-12-19,0.8994179818567645,0.14285714285714285,0.33986928104575165
2021-12-20,0.89926537739951,0.07142857142857142,0.22666666666666666
2021-12-21,0.9201824607607499,1.0,0.31666666666666665
2021-12-22,0.9170984361845514,0.2,0.2878787878787879
2021-12-23,0.9648308397846006,1.0,0.23076923076923078
2021-12-24,0.9389702051737083,0.25,0.28104575163398693
2021-12-25,0.9232421919671433,1.0,0.2631578947368421
2021-12-26,0.9122360245816494,0.2,0.15384615384615385
2021-12-27,0.9586457687360428,0.16666666666666666,0.23809523809523808
2021-12-28,0.9757455700371639,0.5,0.2647058823529412
2021-12-29,0.9650817068123492,0.0625,0.2807017543859649
2021-12-30,0.9861559004885488,0.2,0.14285714285714285
2021-12-31,0.9790534434221136,0.125,0.13333333333333333
2022-01-01,0.9788569662622651,0.1111111111111111,0.125
2022-01-02,0.8196661739916433,0.1,0.33157894736842103
2022-01-03,0.9481598265103575,0.09090909090909091,0.17786561264822134
2022-01-04,0.9533092998415625,0.2,0.15789473684210525
2022-01-05,0.9104188028858926,0.25,0.15384615384615385
2022-01-06,0.8192091089896286,0.25,0.22058823529411764
2022-01-07,0.7967439800138837,0.25,0.3161764705882353
2022-01-08,0.9408827982258819,1.0,0.27450980392156865
2022-01-10,1.0,0.5,0.0
2022-01-11,1.0,1.0,0.0
2022-01-12,1.0,1.0,0.0
2022-01-13,0.9144158588275478,0.2,0.16666666666666666
2022-01-14,0.7949958503874257,0.08333333333333333,0.29523809523809524
2022-01-15,0.7758013599493312,0.3333333333333333,0.30303030303030304
2022-01-17,0.9883888228311386,0.2,0.2857142857142857
2022-01-18,0.9568773029600075,0.2,0.3333333333333333
