pr_number,priorities_number,author_identity,has_labels,mergable_state,has_assignees_content,is_weekday,comment_num,review_comment_num,commit_num,file_changed_num,total_add_line,total_delete_line,label_count,workload,pre_prs,change_num,accept_num,close_num,review_num,participants_count,title_words,body_words,has_bug,has_document,has_feature,has_improve,has_refactor
8086,4,1,0,0,0,0,2,1,2,0,2,1,4,3,3,3,3,3,0,2,1,2,0,1,0,0,0
8088,4,0,1,0,0,0,3,1,0,0,0,0,2,3,1,0,2,1,0,3,4,4,0,0,0,0,0
8091,2,2,1,2,0,0,1,1,0,1,3,2,2,3,3,3,3,3,0,0,3,0,0,0,0,0,0
8094,4,0,1,0,0,0,3,1,2,2,2,4,2,3,0,0,0,0,0,3,3,3,0,0,0,0,0
8097,3,0,1,0,0,0,1,1,1,2,2,2,2,3,1,0,1,1,0,1,3,4,0,0,0,0,0
8099,2,0,1,0,0,0,1,1,2,2,4,3,2,3,3,3,3,3,0,0,3,2,0,1,0,0,0
8104,2,1,1,0,1,0,1,1,2,2,3,2,2,3,3,3,3,3,0,1,0,2,0,1,0,0,0
8106,2,0,1,0,1,0,0,0,1,2,3,4,2,3,3,3,3,3,0,0,2,1,0,0,0,0,0
8111,1,0,1,0,1,1,1,1,2,1,3,2,1,3,3,3,3,3,0,0,2,4,0,0,0,0,0
8115,2,0,1,0,1,1,1,1,2,2,3,1,2,3,3,3,3,3,0,1,2,1,0,0,0,0,0
8125,2,2,1,0,0,1,0,1,2,2,3,2,2,3,3,3,3,3,0,0,2,3,0,0,0,0,0
8128,4,0,1,0,0,1,2,1,2,2,4,3,2,3,3,3,3,3,0,2,2,3,0,0,0,0,0
8135,4,0,1,0,0,1,2,1,2,2,4,2,2,3,0,0,0,0,0,2,1,3,0,0,0,0,0
8140,2,0,1,0,0,1,0,1,1,1,1,2,1,3,3,3,3,3,0,0,4,2,0,0,0,0,0
8144,2,0,1,0,0,1,1,1,1,1,2,1,2,3,3,3,2,3,0,1,2,1,0,0,0,0,0
8147,3,0,1,0,0,1,2,0,1,2,2,4,2,3,3,2,2,2,0,2,4,3,0,0,0,0,0
8148,3,0,1,0,1,1,0,1,0,0,0,1,2,3,2,2,2,2,0,0,2,0,0,0,0,0,0
8153,1,0,1,0,1,1,0,0,0,0,0,2,1,3,3,3,3,3,0,0,0,1,0,0,0,0,0
8155,3,0,1,0,0,1,2,1,2,0,2,1,2,3,3,3,3,3,0,1,1,3,0,0,0,0,0
8157,3,0,1,0,0,1,2,1,2,2,4,3,2,3,3,3,3,3,0,1,2,2,0,0,0,0,0
8163,3,0,1,0,1,1,2,1,2,2,1,1,2,3,2,2,2,2,0,2,0,2,0,0,0,0,0
8166,3,2,1,0,0,1,1,1,2,2,4,3,2,3,3,3,3,3,0,0,0,1,0,0,0,0,0
8169,3,0,1,0,1,1,0,1,2,1,3,1,1,3,3,3,3,2,0,0,1,4,0,0,0,0,0
8171,3,2,1,2,1,1,0,0,2,2,2,1,2,3,3,3,3,3,0,0,2,0,0,0,0,0,0
8173,1,0,1,0,1,1,0,0,0,2,2,1,1,3,3,3,3,3,0,0,0,4,0,0,0,0,0
8179,4,0,1,0,0,1,3,1,0,0,0,0,2,4,1,0,1,1,0,3,4,4,0,0,0,0,0
8183,4,0,1,0,0,1,2,1,2,2,4,3,2,4,3,3,3,3,0,2,3,3,0,0,0,0,0
8184,1,2,1,0,1,1,0,0,0,0,0,0,1,4,3,2,2,3,0,0,4,3,0,0,0,0,0
8195,3,0,1,2,0,1,1,1,1,1,2,4,2,4,2,3,2,2,0,0,2,3,0,0,0,0,0
8200,2,0,1,0,0,1,1,0,2,1,1,4,2,4,2,3,2,2,0,0,2,4,0,0,0,0,0
8201,1,0,1,0,1,1,1,1,2,2,3,2,2,4,2,3,2,2,0,0,3,3,0,0,0,0,0
8203,1,2,1,2,1,1,0,1,1,2,2,1,2,4,3,3,3,3,0,0,0,2,0,0,0,0,0
8204,3,0,1,0,0,1,2,1,2,0,2,1,2,4,2,3,2,2,0,1,2,3,0,0,0,0,0
8206,3,0,1,0,0,1,1,1,2,0,1,0,2,4,2,3,2,2,0,0,4,2,0,0,0,0,0
8210,3,0,1,0,1,1,0,1,2,2,4,3,2,4,3,3,3,3,0,0,2,3,0,0,0,0,0
8212,4,0,1,0,0,1,2,1,2,1,1,1,2,4,0,0,0,0,0,2,2,4,0,0,0,0,0
8213,3,2,1,0,0,1,0,0,1,1,2,1,2,3,3,3,3,3,0,0,2,3,0,0,0,0,0
8214,0,0,1,0,1,1,0,0,1,0,1,4,2,3,3,3,3,3,0,0,2,1,0,0,0,0,0
8215,4,0,1,0,0,1,3,1,2,2,2,1,2,3,2,2,2,2,0,3,0,1,0,0,0,0,0
8216,4,0,1,0,0,1,2,1,0,0,0,0,2,3,1,0,1,1,0,3,4,4,0,0,0,0,0
8217,2,0,1,0,0,1,0,0,0,0,0,1,2,3,2,2,2,2,0,0,4,1,0,0,0,0,0
8218,1,0,1,0,1,1,0,0,1,0,1,0,2,3,2,2,2,2,0,0,2,0,0,0,0,0,0
8219,0,0,1,0,1,1,0,0,1,1,1,3,2,4,3,2,3,3,0,0,0,0,0,0,0,0,0
8221,0,2,1,2,1,1,0,1,0,0,0,0,1,3,3,2,3,2,0,0,2,3,0,0,0,0,0
8222,4,0,1,2,0,1,0,0,0,0,0,0,2,3,2,2,2,2,0,0,3,2,0,0,0,0,0
8223,3,0,1,0,0,1,1,0,0,0,1,1,2,3,2,1,2,2,0,0,4,3,0,0,0,0,0
8230,3,1,1,0,0,1,3,1,2,2,4,4,2,3,1,2,1,1,0,3,2,3,0,0,0,0,0
8232,0,0,1,0,1,1,1,1,2,1,1,0,1,3,2,2,2,2,0,0,3,1,0,0,0,0,0
8237,3,0,1,0,0,1,1,1,2,2,4,2,2,3,3,3,3,3,0,0,3,3,0,0,0,0,0
8248,4,0,1,0,0,1,2,1,2,2,3,4,2,3,0,0,0,0,0,3,2,4,0,0,0,0,0
8249,2,0,1,0,0,1,1,1,2,2,4,3,2,4,3,3,3,3,0,1,1,2,0,0,0,0,0
8252,2,0,1,0,0,1,0,1,2,2,3,3,2,4,3,3,3,3,0,0,0,1,0,0,0,0,0
8254,4,1,1,0,1,1,3,1,2,2,4,4,2,4,0,0,0,0,0,3,4,3,0,0,0,0,0
8257,3,0,1,0,0,1,2,1,2,2,2,2,2,4,3,3,3,3,0,1,1,1,0,0,0,0,0
8258,3,0,1,0,0,1,0,1,2,0,1,0,2,4,1,0,1,1,0,1,3,1,0,0,0,0,0
8260,0,2,1,0,1,1,0,0,2,1,0,0,1,4,3,0,3,3,0,0,0,1,0,0,0,0,0
8262,3,1,1,0,0,1,2,1,2,2,3,4,2,4,3,3,3,3,0,1,0,0,0,0,0,0,0
8270,1,0,1,0,1,1,1,1,1,2,2,4,2,3,3,3,3,3,0,0,0,2,0,0,0,0,0
8272,3,0,1,0,0,1,0,0,1,2,3,2,2,3,3,3,3,3,0,0,0,0,0,0,0,0,0
8276,4,1,1,0,0,1,2,1,2,1,1,0,2,3,3,3,3,3,0,1,0,1,0,0,0,0,0
8279,3,0,1,0,1,1,1,1,2,2,2,1,2,3,3,3,3,3,0,0,2,2,0,0,0,0,0
8282,1,0,1,0,1,1,1,1,1,2,3,2,2,3,3,3,3,3,0,0,2,3,0,0,0,0,0
8289,4,0,1,2,0,1,3,1,0,0,0,0,2,3,1,0,1,1,0,3,4,4,0,0,0,0,0
8290,4,0,1,0,0,0,2,1,0,0,0,0,2,4,1,0,1,1,0,3,4,4,0,0,0,0,0
8292,1,1,1,0,1,0,2,1,2,2,3,1,1,4,3,3,3,3,0,1,3,0,0,1,0,0,0
8294,2,0,1,0,1,0,2,1,1,2,2,1,2,4,0,0,0,0,0,3,2,4,0,0,0,0,0
8295,0,2,1,0,1,0,0,0,1,2,1,1,1,4,3,3,3,3,0,0,0,3,0,0,0,0,0
8296,1,2,1,0,1,0,0,0,0,0,0,0,2,4,2,1,2,3,0,0,1,1,0,0,0,0,0
8297,4,0,1,2,0,0,1,1,1,2,2,4,2,4,3,3,3,3,0,0,4,4,0,0,0,0,0
8303,2,0,1,0,1,0,1,1,2,1,1,1,1,4,2,2,2,2,0,1,0,0,0,0,0,0,0
8304,2,0,1,0,1,0,2,1,2,2,4,4,2,4,3,3,3,3,0,1,2,2,0,0,0,0,0
8307,3,0,1,0,0,0,1,1,2,2,4,3,2,3,3,3,3,3,0,0,4,2,0,0,0,0,0
8308,3,2,1,2,0,0,1,1,1,2,2,1,2,3,3,3,3,3,0,0,4,0,0,0,0,0,0
8327,2,0,1,1,1,0,1,1,1,0,0,3,2,4,3,2,3,3,0,1,3,0,0,0,0,0,0
8329,1,0,1,0,1,0,2,1,2,2,3,4,1,4,2,2,2,2,0,1,0,3,0,0,0,0,0
8331,3,1,1,0,1,0,1,1,2,2,2,2,2,4,3,3,2,2,0,0,0,0,0,0,0,0,0
8333,2,0,1,0,1,1,0,0,2,2,3,2,2,3,3,3,3,3,0,0,1,4,0,0,0,0,0
8335,3,0,1,0,1,1,2,1,2,2,3,3,2,3,3,3,3,3,0,1,2,4,0,0,0,0,0
8339,3,0,1,0,1,1,1,1,2,2,3,2,2,3,2,3,2,2,0,1,4,4,0,0,0,0,0
8356,4,2,1,0,0,1,2,1,2,2,4,4,2,3,3,3,3,3,0,1,4,4,0,0,0,0,0
8357,4,0,1,0,1,1,2,1,2,2,4,3,2,3,2,1,2,2,0,2,0,0,0,0,0,0,0
8358,4,0,1,0,1,1,1,1,2,2,3,3,2,3,2,3,3,2,0,1,0,4,0,0,0,0,0
8363,1,0,1,0,1,1,0,0,0,2,2,0,2,3,3,3,3,3,0,0,2,0,0,0,0,0,0
8365,4,2,0,2,0,1,2,1,0,1,2,1,4,3,3,3,3,3,0,1,4,4,0,0,0,0,0
8366,3,0,1,0,1,1,2,1,2,2,4,3,2,3,3,3,3,3,0,1,0,2,1,0,0,0,0
8370,0,0,1,0,1,1,0,0,0,0,0,4,2,4,2,2,3,2,0,0,3,1,0,0,0,0,0
8372,0,2,1,0,1,1,0,1,2,2,4,3,1,4,3,3,3,3,0,0,4,3,0,0,0,0,0
8373,3,0,1,0,1,1,1,1,0,0,0,0,2,4,1,0,1,1,0,0,0,0,1,0,0,0,0
