file_path,ndcg_mean,mrr_mean,kendall_tau_distance_mean
./result/ranklib/kuma/kuma_MART_result.csv,0.8963585217906784,0.4717977386603582,0.16169996436744183
./result/ranklib/kuma/kuma_RankNet_result.csv,0.6726590011989599,0.13005469441590975,0.3264769516159896
./result/ranklib/kuma/kuma_RankBoost_result.csv,0.7934970043704593,0.29939207836907084,0.2271553730171903
./result/ranklib/kuma/kuma_AdaRank_result.csv,0.6380458559230568,0.09155430475185586,0.3706417707359283
./result/ranklib/kuma/kuma_Coordinate_Ascent_result.csv,0.81006827765827,0.3328371761670448,0.23511502729918693
./result/ranklib/kuma/kuma_LambdaMART_result.csv,0.8589042608668842,0.41222846083886794,0.19391122602604693
./result/ranklib/kuma/kuma_ListNet_result.csv,0.7672044038496479,0.2510087607705864,0.24172214968349098
./result/ranklib/kuma/kuma_Random_Forests_result.csv,0.9028739893989327,0.4802496777370568,0.15539687839796754
./result/xgboost/kuma/kuma_xgboost_result.csv,0.8839450612100761,0.44301657807216177,0.1716304081631317
./result/bayesian_network/kuma/kuma_bayesian_network_result.csv,0.774021137294853,0.2615947197987117,0.225490779738149
./result/fifo/kuma_FIFO_result.csv,0.722873779876349,0.20567022710404664,0.4779269990581271
./result/small_size_first/kuma_small_size_first_result.csv,0.7856043239694599,0.23836928815017752,0.38873995533342365
