3 qid:1 1:0 2:0 3:0 4:0 5:0.15862068965517243 6:0.040889526542324243 7:0.017583223892341966 8:0.011915332549966236 9:0.0 10:0.05509641873278237 11:0.3 12:0.14095744680851063 13:0.0 14:0.0 15:0.0 16:0.0 17:1.0 18:0.04547542031069046 19:0.06083602203639077 20:0.052792676934015036 21:0.27631578947368424 22:0.041884816753926704 23:0.0625 24:0.1875 25:0.13636363636363635 26:0.18009478672985782 27:0.022058823529411766 28:0.03536693191865606 29:0.0063119927862939585 30:0.1111111111111111 31:0.10312273057371096 32:0.5503080082135523 33:0 # 26
2 qid:1 1:0 2:0 3:0 4:0 5:0.006896551724137931 6:0.0007173601147776184 7:0.0 8:5.31697124050256e-06 9:0.0 10:0.05785123966942149 11:0.7 12:0.0 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.04902599736432251 19:0.06711266214525581 20:0.05764185565070105 21:0.3136842105263158 22:0.0007853403141361257 23:0.0625 24:0.0625 25:0.045454545454545456 26:0.0 27:0.0024509803921568627 28:0.0 29:0.0002254283137962128 30:0.1111111111111111 31:0.10384894698620188 32:0.6919917864476385 33:0 # 27
4 qid:1 1:0 2:0 3:0 4:0 5:0.013793103448275862 6:0.005021520803443328 7:0.0009145190533664403 8:9.570548232904608e-05 9:0.0 10:0.06060606060606061 11:0.5 12:0.05585106382978723 13:0.0 14:0.0 15:0.0 16:0.0 17:1.0 18:0.04714268599496825 19:0.06453140590889982 20:0.05542606761200908 21:0.30364372469635625 22:0.0054101221640488655 23:0.0625 24:0.0625 25:0.045454545454545456 26:0.03317535545023697 27:0.004901960784313725 28:0.004420866489832007 29:0.001352569882777277 30:0.1111111111111111 31:0.10530137981118373 32:0.6981519507186857 33:0 # 28
2 qid:1 1:0 2:0 3:0 4:0 5:0.006896551724137931 6:0.00430416068866571 7:0.0004891613541262355 8:0.0009251529958474455 9:0.0 10:0.06336088154269973 11:0.55 12:0.026063829787234042 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.045436595095155054 19:0.0625608159024897 20:0.05359397853359774 21:0.2962962962962963 22:0.004712041884816754 23:0.0625 24:0.0625 25:0.045454545454545456 26:0.004739336492890996 27:0.01715686274509804 28:0.004420866489832007 29:0.001127141568981064 30:0.1111111111111111 31:0.10602759622367465 32:0.704312114989733 33:0 # 29
2 qid:1 1:0 2:0 3:0 4:0 5:0.12413793103448276 6:0.03802008608321377 7:0.013382816612344944 8:0.00023394673458211265 9:0.0 10:0.06611570247933884 11:0.5 12:0.2632978723404255 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.04418610621437984 19:0.060542851498932355 20:0.05197789099642868 21:0.287593984962406 22:0.04284467713787086 23:0.1875 24:0.125 25:0.09090909090909091 26:0.3933649289099526 27:0.0 28:0.022104332449160036 29:0.010595130748422003 30:0.1111111111111111 31:0.11909949164851126 32:0.7104722792607803 33:0 # 30
3 qid:1 1:0 2:0 3:0 4:0 5:0.041379310344827586 6:0.02582496413199426 7:0.011925966492447242 8:0.0003456031306326664 9:0.0 10:0.06887052341597796 11:0.35 12:0.036170212765957444 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.042753332810053585 19:0.06417012735483842 20:0.052955549138012155 21:0.31034482758620685 22:0.03673647469458988 23:0.0625 24:0.1875 25:0.13636363636363635 26:0.23222748815165878 27:0.007352941176470588 28:0.026525198938992044 29:0.006762849413886384 30:0.1111111111111111 31:0.12345679012345678 32:0.8203285420944559 33:0 # 31
3 qid:1 1:0 2:0 3:0 4:0 5:0.04827586206896552 6:0.01291248206599713 7:0.008129649026728414 8:0.0009464208808094557 9:0.0 10:0.07162534435261708 11:0.3 12:0.034574468085106384 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.041458008865460645 19:0.06695419327933978 20:0.053603504699768934 21:0.3105263157894737 22:0.020331588132635255 23:0.0625 24:0.0625 25:0.045454545454545456 26:0.12322274881516587 27:0.00980392156862745 28:0.029177718832891247 29:0.003381424706943192 30:0.1111111111111111 31:0.12854030501089325 32:0.8562628336755647 33:0 # 32
2 qid:1 1:0 2:0 3:0 4:0 5:0.034482758620689655 6:0.007173601147776184 7:0.0019513284452644395 8:0.0005370140952907586 9:0.0 10:0.0743801652892562 11:0.65 12:0.09042553191489362 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.04046460578844244 19:0.0680420648389858 20:0.053601548500421425 21:0.31239388794567063 22:0.011343804537521814 23:0.0625 24:0.0625 25:0.045454545454545456 26:0.03317535545023697 27:0.00980392156862745 28:0.027409372236958444 29:0.0040577096483318306 30:0.1111111111111111 31:0.13217138707334786 32:0.8880903490759754 33:0 # 33
4 qid:1 1:0 2:0 3:0 4:0 5:0.020689655172413793 6:0.0028694404591104736 7:8.507153984804096e-05 8:2.65848562025128e-05 9:0.0 10:0.07713498622589532 11:0.3 12:0.06914893617021277 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.03938915179106266 19:0.0666709192072167 20:0.05238523728866723 21:0.31085526315789475 22:0.004188481675392671 23:0.125 24:0.125 25:0.09090909090909091 26:0.009478672985781991 27:0.0 28:0.0035366931918656055 29:0.001127141568981064 30:0.1111111111111111 31:0.13435003631082063 32:0.9158110882956878 33:0 # 34
4 qid:1 1:0 2:0 3:0 4:0 5:0.006896551724137931 6:0.0007173601147776184 7:5.31697124050256e-06 8:5.31697124050256e-06 9:0.0 10:0.0027548209366391185 11:0.55 12:0.007978723404255319 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.0382046171551383 19:0.06468251355325827 20:0.050817766447765506 21:0.3062200956937799 22:0.0004363001745200698 23:0.0625 24:0.0625 25:0.045454545454545456 26:0.0 27:0.0 28:0.0008841732979664014 29:0.0009017132551848512 30:0.1111111111111111 31:0.002178649237472767 32:0.012320328542094455 33:0 # 35
4 qid:1 1:0 2:0 3:0 4:0 5:0.006896551724137931 6:0.003586800573888092 7:3.7218798683517924e-05 8:0.00013824125225306657 9:0.0 10:0.07988980716253444 11:0.25 12:0.09042553191489362 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.03708271376119634 19:0.06278202332490249 20:0.049324971354872994 21:0.29876160990712075 22:0.0054101221640488655 23:0.0625 24:0.0625 25:0.045454545454545456 26:0.004739336492890996 27:0.012254901960784314 28:0.0035366931918656055 29:0.0020288548241659153 30:0.1111111111111111 31:0.13507625272331156 32:0.9342915811088295 33:0 # 36
4 qid:1 1:0 2:0 3:0 4:0 5:0.006896551724137931 6:0.0014347202295552368 7:1.063394248100512e-05 8:4.785274116452304e-05 9:0.0 10:0.005509641873278237 11:0.25 12:0.011170212765957447 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.0360677061048452 19:0.061001420387737634 20:0.04794526072403178 21:0.29172932330827067 22:0.0008726003490401396 23:0.0625 24:0.125 25:0.09090909090909091 26:0.0 27:0.0024509803921568627 28:0.0017683465959328027 29:0.0006762849413886385 30:0.1111111111111111 31:0.002904865649963689 32:0.018480492813141684 33:0 # 37
4 qid:1 1:0 2:0 3:0 4:0 5:0.006896551724137931 6:0.0014347202295552368 7:0.0003349691881516613 8:0.0 9:0.0 10:0.08264462809917356 11:0.35 12:0.015957446808510637 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.03508080081998855 19:0.05931059458747613 20:0.04662303217869229 21:0.2850877192982456 22:0.002268760907504363 23:0.0625 24:0.0625 25:0.045454545454545456 26:0.018957345971563982 27:0.0 28:0.0 29:0.0004508566275924256 30:0.1111111111111111 31:0.13580246913580246 32:0.8566735112936346 33:0 # 38
2 qid:1 1:0 2:0 3:0 4:0 5:0.020689655172413793 6:0.009325681492109038 7:0.0031263790894155053 8:0.0011537827591890555 9:0.0 10:0.08539944903581267 11:0.3 12:0.08351063829787234 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.03413267106809697 19:0.05781972134773873 20:0.045416358298639284 21:0.27880512091038406 22:0.012827225130890052 23:0.0625 24:0.125 25:0.09090909090909091 26:0.037914691943127965 27:0.0 28:0.010610079575596816 29:0.001352569882777277 30:0.1111111111111111 31:0.13798111837327523 32:0.8587268993839836 33:0 # 39
0 qid:1 1:2 2:0 3:2 4:0 5:0.006896551724137931 6:0.007890961262553802 7:0.0033231070253141003 8:0.0 9:0.0 10:0.0 11:0.35 12:0.02925531914893617 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.03357651346528535 19:0.05731702668140688 20:0.04488566858003199 21:0.2756232686980609 22:0.0038394415357766143 23:0.125 24:0.3125 25:0.36363636363636365 26:0.052132701421800945 27:0.0 28:0.0 29:0.0002254283137962128 30:0.1111111111111111 31:0.0 32:0.0 33:0 # 40
2 qid:1 1:0 2:0 3:0 4:0 5:0.020689655172413793 6:0.025107604017216643 7:0.0012654391552396093 8:0.0009145190533664403 9:0.0 10:0.0881542699724518 11:0.4 12:0.07127659574468086 13:1.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.03271557722258573 19:0.05690258031075836 20:0.04423742458935834 21:0.26990553306342785 22:0.0393542757417103 23:0.0625 24:0.0625 25:0.045454545454545456 26:0.014218009478672985 27:0.0 28:0.138815207780725 29:0.01127141568981064 30:0.1111111111111111 31:0.140159767610748 32:0.8344969199178645 33:0 # 41
2 qid:1 1:0 2:0 3:0 4:0 5:0.006896551724137931 6:0.00430416068866571 7:0.00012229033853155887 8:5.848668364552816e-05 9:0.0 10:0.09090909090909091 11:0.3 12:0.052127659574468084 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.032155265364801726 19:0.055871798248502004 20:0.043452997082902046 21:0.26710526315789473 22:0.00506108202443281 23:0.1875 24:0.0625 25:0.045454545454545456 26:0.009478672985781991 27:0.0024509803921568627 28:0.007957559681697613 29:0.0015779981965734896 30:0.1111111111111111 31:0.14088598402323893 32:0.8529774127310061 33:0 # 42
2 qid:1 1:0 2:0 3:0 4:0 5:0.006896551724137931 6:0.0028694404591104736 7:2.126788496201024e-05 8:0.0 9:0.0 10:0.09366391184573003 11:0.4 12:0.1372340425531915 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.031387061804007285 19:0.05454600934367808 20:0.04241917924966395 21:0.26187419768934533 22:0.0033158813263525306 23:0.125 24:0.0625 25:0.045454545454545456 26:0.018957345971563982 27:0.0 28:0.0 29:0.0018034265103697023 30:0.1111111111111111 31:0.14161220043572983 32:0.8591375770020534 33:0 # 43
4 qid:1 1:0 2:0 3:0 4:0 5:0.013793103448275862 6:0.002152080344332855 7:0.0003456031306326664 8:0.00032433524567065616 9:0.0 10:0.09641873278236915 11:0.2 12:0.04893617021276596 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.030639750808673774 19:0.053253565863034494 20:0.041412186090834815 21:0.2568922305764411 22:0.0034031413612565444 23:0.0625 24:0.0625 25:0.045454545454545456 26:0.009478672985781991 27:0.007352941176470588 28:0.0008841732979664014 29:0.0015779981965734896 30:0.1111111111111111 31:0.1430646332607117 32:0.8652977412731006 33:0 # 44
2 qid:1 1:0 2:0 3:0 4:0 5:0.034482758620689655 6:0.01649928263988522 7:0.004615131036756222 8:0.0011165639605055376 9:0.0 10:0.09917355371900827 11:0.3 12:0.09095744680851064 13:0.0 14:0.0 15:1.0 16:0.0 17:0.0 18:0.030012175381212022 19:0.05211464517541778 20:0.040541023559268 21:0.2533659730722154 22:0.024171029668411868 23:0.0625 24:0.25 25:0.18181818181818182 26:0.07582938388625593 27:0.0024509803921568627 28:0.016799292661361626 29:0.007439134355275023 30:0.1111111111111111 31:0.1466957153231663 32:0.8505133470225872 33:0 # 45
3 qid:1 1:0 2:0 3:0 4:0 5:0.041379310344827586 6:0.012195121951219513 7:0.0035357858749342024 8:0.0011325148742270454 9:0.0 10:0.10192837465564739 11:0.25 12:0.05585106382978723 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.029615975255127047 19:0.052229179262168 20:0.04038811945558911 21:0.2535885167464115 22:0.010034904013961605 23:0.0625 24:0.3125 25:0.22727272727272727 26:0.08056872037914692 27:0.004901960784313725 28:0.007073386383731211 29:0.005410279531109108 30:0.1111111111111111 31:0.15105301379811184 32:0.8761806981519508 33:0 # 46
3 qid:1 1:0 2:0 3:0 4:0 5:0.05517241379310345 6:0.013629842180774749 7:0.003360325823997618 8:0.0006327195776198046 9:0.0 10:0.1046831955922865 11:0.35 12:0.09095744680851064 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.02924137747427552 19:0.05204158527395507 20:0.04010260378002921 21:0.2549707602339181 22:0.011780104712041885 23:0.0625 24:0.3125 25:0.22727272727272727 26:0.10426540284360189 27:0.0 28:0.023872679045092837 29:0.004733994589720469 30:0.1111111111111111 31:0.1568627450980392 32:0.8911704312114989 33:0 # 47
1 qid:1 1:0 2:0 3:0 4:0 5:0.013793103448275862 6:0.002152080344332855 7:0.0012601221839991068 8:0.0 9:0.0 10:0.10743801652892562 11:0.3 12:0.011170212765957447 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.0287606586068413 19:0.05181491034952663 20:0.039742902614750775 21:0.2585812356979405 22:0.002006980802792321 23:0.0625 24:0.125 25:0.09090909090909091 26:0.014218009478672985 27:0.0 28:0.0 29:0.0006762849413886385 30:0.1111111111111111 31:0.15831517792302105 32:0.933264887063655 33:0 # 48
1 qid:1 1:0 2:0 3:0 4:0 5:0.013793103448275862 6:0.00860832137733142 7:0.0010314924206574966 8:0.0001754600509365845 9:0.0 10:0.11019283746556474 11:0.35 12:0.05053191489361702 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.028148729700312763 19:0.05104449634275675 20:0.0390554769164853 21:0.25531914893617025 22:0.006893542757417103 23:0.125 24:0.25 25:0.18181818181818182 26:0.10426540284360189 27:0.0 28:0.008841732979664015 29:0.003832281334535618 30:0.1111111111111111 31:0.15976761074800291 32:0.9455852156057495 33:0 # 49
