日期,ndgc
2015-12-18,0.8329762261778096
2015-12-19,0.819504846293155
2015-12-20,1.0
2015-12-21,0.7633495312152959
2015-12-22,0.975074610365462
2015-12-24,0.9598833141725186
2015-12-25,0.7983970931887407
2015-12-27,0.9022480681472157
2015-12-28,0.8674129255750771
2015-12-29,0.8689924192810763
2015-12-30,0.8761854122284671
2015-12-31,0.8219654789613159
2016-01-01,0.9023560912971247
2016-01-02,0.8221170718780983
2016-01-04,0.7703367777726787
2016-01-05,0.7661283254417998
2016-01-06,0.7670109910520084
2016-01-07,0.7804228352981527
2016-01-08,0.7640153330157435
2016-01-09,0.7524022024036431
2016-01-10,0.8264387093637167
2016-01-11,0.7906941723932961
2016-01-12,0.748822041560243
2016-01-13,0.7204435455460282
2016-01-14,0.7465266046022585
2016-01-15,0.7967773205724323
2016-01-17,0.8683036190346247
2016-01-18,0.7520847690052811
2016-01-19,0.7769607115846712
2016-01-20,0.8617632266187986
2016-01-21,0.9262211783272722
2016-01-22,0.8677250659007286
2016-01-23,0.8317662605144718
2016-01-24,0.9286259926736452
2016-01-25,0.9195237450721329
2016-01-26,0.8809753292484428
2016-01-27,0.8311278400111133
2016-01-28,0.7500787603463205
2016-01-29,0.7257209331859674
2016-01-30,0.718105699151584
2016-01-31,0.7300654619131861
2016-02-01,0.7654536156976338
2016-02-02,0.8254789257793206
2016-02-03,0.8080623698575983
2016-02-04,0.8704958605074056
2016-02-05,0.8524109535085075
2016-02-06,0.7596149509574596
2016-02-07,0.7569762043248967
2016-02-08,0.7817429498071211
2016-02-09,0.725973779630576
2016-02-10,0.8003618769585579
2016-02-11,0.7343348431142804
2016-02-12,0.813475442241887
2016-02-13,0.7906818001549802
2016-02-14,0.776025488576265
2016-02-15,0.7910430304932158
2016-02-16,0.7915540950733957
2016-02-17,0.7022718890291303
2016-02-18,0.711974471821295
2016-02-19,0.7365595168594741
2016-02-20,0.6999768718422944
2016-02-21,0.7519975550359016
2016-02-22,0.7733243075000468
2016-02-23,0.7265490015220507
2016-02-24,0.7197385066675508
2016-02-25,0.7309972822339386
2016-02-26,0.8134068590015312
2016-02-27,0.775769491959648
2016-02-28,0.7452728968262518
2016-02-29,0.7334605080574036
2016-03-01,0.7837841455820775
2016-03-02,0.7923261791353183
2016-03-03,0.8997578400560685
2016-03-04,0.8385322646584962
2016-03-06,0.7779693477531402
2016-03-07,0.7047664861159182
2016-03-08,0.7393945112608301
2016-03-09,0.8841296089182429
2016-03-10,0.7979147416625075
2016-03-11,0.7514101722069086
2016-03-12,0.7916794680064562
2016-03-13,0.7335581105385511
2016-03-14,0.8503593272447392
2016-03-15,0.8845095323447458
2016-03-16,0.7933299824004799
2016-03-17,0.792395814028361
2016-03-18,0.8251394819191841
2016-03-19,0.8496708459516533
2016-03-20,0.7506894349901562
2016-03-21,0.7542521314882042
2016-03-22,0.7947444922600261
2016-03-23,0.8104925123618144
2016-03-24,0.7856152054827799
2016-03-26,0.6909367074010454
2016-03-29,0.7919725203885138
2016-03-30,0.9249714814030536
2016-03-31,0.8666557756724738
2016-04-01,0.8767291111597355
2016-04-02,0.9531068884031515
2016-04-03,0.9554414930063339
2016-04-04,0.8751525925186703
2016-04-05,0.8028847650759262
2016-04-06,0.7881706876761415
2016-04-07,0.8189263563596714
2016-04-08,0.7483826816924409
2016-04-09,0.7833802275361451
2016-04-10,0.7630618644996545
2016-04-11,0.7307247991706218
2016-04-12,0.7367944135579294
2016-04-13,0.724789749201217
2016-04-14,0.835644347716852
2016-04-15,0.7826315632759181
2016-04-16,0.8095941598679903
2016-04-17,0.7756124798281268
2016-04-18,0.8045086206435087
2016-04-19,0.814409828587127
2016-04-20,0.7803071529176656
2016-04-21,0.7735668001669123
2016-04-22,0.7728241619700073
2016-04-23,0.8389716149653884
2016-04-24,0.7533228105449866
2016-04-25,0.7656860598689557
2016-04-26,0.7770333810156969
2016-04-27,0.8113582532804423
2016-04-28,0.7607936723386008
2016-04-29,0.8353308062908685
2016-04-30,0.9156807462311658
2016-05-02,0.8789610992457564
2016-05-04,0.8477392120819108
2016-05-05,0.8510544604774917
2016-05-06,0.7780879714505063
2016-05-09,0.8256995627228736
2016-05-10,0.8030327284805098
2016-05-11,0.8378683814200095
2016-05-12,0.7620718706940153
2016-05-13,0.7719602696812483
2016-05-15,0.8311869402565348
2016-05-16,0.8331715480456022
2016-05-17,0.7803623606735799
2016-05-18,0.8026680547020426
2016-05-19,0.794959503223196
2016-05-21,0.8458636320573418
2016-05-23,0.8162018168923433
2016-05-24,0.77795433404387
2016-05-25,0.7752058354198054
2016-05-26,0.8569369214140168
2016-05-27,0.8289105905736045
2016-05-30,0.9302420611212141
2016-05-31,0.7714761727226891
2016-06-01,0.8277082938891154
2016-06-02,0.7990998972667777
2016-06-03,0.7207294781945618
2016-06-04,0.7609695103258234
2016-06-05,0.8721198669190201
2016-06-06,0.710037784895027
2016-06-07,0.746149513803223
2016-06-08,0.7628427572790037
2016-06-09,0.7133560426553758
2016-06-11,0.781485856002785
2016-06-13,0.7490166549177995
2016-06-14,0.7285691993272604
2016-06-15,0.7256570044101569
2016-06-16,0.7697665077397793
2016-06-17,0.7527543693237062
2016-06-19,0.7658498562744861
2016-06-21,0.766092991021521
2016-06-22,0.7496014119321928
2016-06-23,0.711751771278897
2016-06-24,0.80133863962175
2016-06-25,0.786325668461724
2016-06-26,0.7689885417170927
2016-06-27,0.7011614373319439
2016-06-28,0.7754297312294582
2016-06-29,0.7926270894792001
2016-06-30,0.7872674997046215
2016-07-01,0.7239041503364247
