pr_number,priorities_number,author_identity,has_labels,mergable_state,has_assignees_content,commit_num,file_changed_num,total_add_line,total_delete_line,label_count,pre_prs,title_words,body_words,has_bug,has_document,has_feature,has_improve,has_refactor,directory_num,subsystem_num,language_num,file_type_num,segs_added_num,segs_deleted_num,segs_updated_num,changes_files_modified,file_developer_num,change_num,recent_change_num,testinclusion
185,4,0,0,0,0,0,2,1,1,0,1,3,0,0,0,0,0,0,2,1,0,0,2,1,1,3,0,2,2,0
186,4,0,0,0,0,1,2,2,2,0,1,4,0,0,0,0,0,0,2,1,1,1,1,1,2,3,0,2,2,0
187,1,1,0,0,0,2,3,4,3,0,4,0,0,0,0,0,0,0,3,1,1,1,3,1,2,3,0,4,4,0
188,0,2,0,0,0,2,3,3,3,0,4,4,4,0,0,0,0,0,4,1,1,1,2,1,3,4,0,4,4,0
189,4,0,0,0,0,2,3,4,3,0,1,0,1,0,0,0,0,0,2,1,1,1,2,1,3,3,0,2,2,0
190,4,0,0,0,0,1,0,1,3,0,1,4,0,0,0,0,0,0,0,0,1,1,0,1,2,0,0,2,2,0
191,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
192,2,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2,2,0
193,4,0,0,0,0,2,1,2,2,0,1,3,2,0,0,0,0,0,1,0,1,1,1,1,1,1,0,2,1,0
194,0,0,0,2,0,0,0,0,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0
195,2,0,0,0,0,0,1,2,1,0,3,1,0,0,0,1,0,0,4,0,0,0,3,0,2,3,0,3,3,0
196,3,0,0,0,0,0,0,0,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
197,0,0,0,2,0,0,1,1,1,0,3,3,1,1,0,0,0,0,1,0,1,1,1,1,1,2,0,2,1,0
199,1,0,0,0,0,2,3,3,3,0,3,2,3,0,0,0,0,0,3,1,1,1,2,1,3,2,0,2,1,0
200,1,0,0,0,0,0,3,2,1,0,3,3,3,0,0,0,0,0,2,1,1,1,2,1,2,2,0,2,1,0
201,2,0,0,0,0,2,3,4,3,0,3,3,3,0,0,0,0,0,3,1,1,1,3,1,2,2,0,2,1,0
202,0,0,0,2,0,0,1,1,0,0,3,2,2,0,0,0,0,0,1,1,1,1,0,1,1,1,0,2,1,0
203,1,0,0,2,0,2,2,2,1,0,3,3,1,0,0,0,0,0,3,1,1,1,3,1,0,3,0,2,1,0
204,0,0,0,2,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2,0,0
205,3,0,0,2,0,2,1,1,0,0,1,1,2,0,0,0,0,1,1,0,1,1,1,1,0,1,0,2,2,0
206,2,0,0,2,0,1,3,2,1,0,3,3,2,0,0,0,0,0,2,1,1,1,3,1,2,4,0,2,0,0
207,0,0,0,0,0,2,2,2,2,0,3,3,2,0,0,0,0,0,2,1,1,1,3,1,1,2,0,2,0,0
208,1,0,0,0,0,1,3,2,1,0,4,3,1,0,0,0,0,0,3,1,1,1,1,0,1,3,4,4,4,0
209,0,0,0,0,0,2,3,4,3,0,4,0,3,0,0,0,0,0,3,1,1,1,2,1,3,4,0,4,4,0
210,1,1,0,0,0,2,3,2,3,0,3,0,0,0,0,0,0,0,3,1,1,1,1,1,2,2,0,4,4,0
211,2,1,0,0,0,1,3,2,1,0,3,3,1,0,0,0,0,0,3,1,1,1,2,1,1,2,0,4,4,0
212,1,0,0,2,0,0,2,0,0,0,1,1,0,0,1,0,0,0,3,1,1,1,3,1,2,3,0,2,2,0
214,0,0,0,2,0,1,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,2,0
215,2,0,0,0,0,2,3,2,2,0,3,1,1,0,0,0,0,0,2,1,1,1,2,0,2,4,0,3,3,0
216,0,0,0,0,0,2,1,0,2,0,4,3,3,0,0,0,0,0,1,0,1,1,1,1,2,1,0,4,4,0
217,0,0,0,2,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0
218,2,0,0,2,0,2,2,0,0,0,1,0,1,0,0,0,0,0,3,1,1,1,3,1,2,3,0,2,2,0
219,4,0,0,2,0,2,3,3,2,0,1,0,1,0,0,0,0,0,3,1,1,1,3,1,1,3,0,2,2,0
220,0,0,0,2,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0
221,0,0,0,0,0,0,3,1,3,0,3,3,1,0,1,1,0,0,3,1,1,1,1,1,2,3,0,3,3,0
222,1,0,0,0,0,0,3,3,1,0,3,3,3,0,0,0,0,0,3,1,1,1,3,1,2,3,0,2,1,0
223,0,0,0,0,0,1,2,2,3,0,3,3,3,0,0,0,0,0,2,0,1,1,1,1,3,1,0,2,1,0
224,0,0,0,0,0,0,3,1,1,0,3,3,2,0,0,0,0,0,3,1,1,1,1,1,1,2,0,2,1,0
225,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,2,2,0
226,2,0,0,0,0,2,3,3,3,0,1,0,3,0,0,0,0,0,3,1,1,1,2,1,3,4,0,2,2,0
227,1,0,0,0,0,1,3,1,1,0,1,3,0,0,0,0,0,0,3,1,1,1,1,1,1,3,0,2,2,0
228,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,2,2,0
229,2,0,0,0,0,2,3,2,2,0,1,0,2,0,0,0,0,0,3,1,1,1,2,1,2,3,0,2,0,0
230,4,0,0,0,0,2,2,3,3,0,1,0,4,0,0,0,0,0,2,0,1,1,2,1,2,1,0,2,1,0
231,4,0,0,0,0,2,2,3,3,0,1,0,4,0,0,0,0,0,2,0,1,1,1,1,3,1,0,2,1,0
232,4,0,0,0,0,2,2,3,3,0,1,0,4,0,0,0,0,0,2,0,1,1,1,1,3,1,0,2,1,0
233,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
234,3,0,0,0,0,2,3,3,3,0,3,3,2,0,0,0,0,0,3,1,1,1,2,1,3,4,0,2,0,0
235,3,0,0,0,0,1,3,2,2,0,1,3,2,0,0,0,0,0,2,1,1,1,2,1,1,4,0,1,0,0
236,2,0,0,0,0,1,1,2,1,0,1,1,4,0,0,0,0,0,1,0,1,1,1,0,1,2,0,1,0,0
237,2,0,0,0,0,2,1,4,0,0,1,4,4,0,0,0,0,0,1,0,0,0,3,0,3,1,0,1,0,0
238,3,0,0,0,0,1,1,4,0,0,1,0,2,0,0,0,0,0,1,0,0,0,3,0,3,2,0,1,0,0
239,3,0,0,0,0,1,1,2,0,0,1,0,2,0,0,0,0,0,1,0,1,1,3,0,1,2,0,1,0,0
240,3,0,0,0,0,2,1,3,1,0,3,1,3,0,0,0,0,0,1,1,1,1,1,0,1,3,0,2,0,0
241,3,0,0,0,0,2,3,3,3,0,3,1,3,0,0,0,0,0,3,1,1,1,2,1,2,4,0,2,0,0
242,2,0,0,0,0,0,2,2,2,0,3,0,1,0,1,0,0,0,2,1,1,1,2,1,1,3,0,2,0,0
243,3,0,0,0,0,2,3,3,3,0,3,3,0,0,0,0,0,0,4,1,1,1,3,1,2,3,0,2,0,0
244,4,0,0,0,0,2,3,3,1,0,3,1,2,0,0,0,0,0,3,1,1,1,3,1,2,3,0,2,0,0
245,0,2,0,2,0,2,3,3,2,0,4,2,1,0,0,0,0,0,2,1,1,1,3,1,1,3,0,4,4,0
246,2,0,0,0,0,2,1,1,3,0,1,0,4,0,0,0,0,0,1,0,1,1,1,1,3,1,0,1,0,0
247,2,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,1
248,4,0,0,0,0,2,3,3,3,0,3,0,4,0,0,0,0,0,3,1,1,1,3,1,2,2,0,3,4,0
249,4,0,0,0,0,2,3,3,3,0,3,0,4,0,0,0,0,0,3,1,1,1,3,1,2,2,0,3,4,0
250,4,0,0,0,0,2,3,3,2,0,1,2,4,0,0,0,0,0,3,1,1,1,3,1,2,3,0,1,0,0
251,2,0,0,0,0,2,1,3,1,0,1,2,4,0,0,0,0,0,1,0,4,1,3,1,0,2,0,1,0,0
252,1,0,0,0,0,0,1,1,1,0,3,3,2,0,0,0,0,0,1,0,1,1,1,1,0,1,0,2,0,0
253,3,0,0,0,0,2,3,3,3,0,3,1,2,0,0,0,0,0,3,1,1,1,2,1,3,4,0,2,0,0
254,0,0,0,2,0,0,0,0,3,0,3,4,2,0,0,0,1,0,0,0,0,0,0,1,3,1,0,2,0,0
255,0,0,0,0,0,0,3,2,2,0,3,0,1,0,0,0,1,0,3,1,1,1,3,1,1,4,0,2,0,0
256,2,0,0,0,0,2,3,4,3,0,3,3,3,0,0,0,0,0,3,1,1,1,3,1,2,1,0,2,0,0
257,0,0,0,2,0,2,2,3,3,0,3,1,2,0,0,0,0,0,2,0,1,1,1,1,3,1,0,2,0,0
258,0,0,0,2,0,2,2,3,3,0,3,2,3,0,0,0,0,0,2,0,1,1,1,1,3,1,0,2,0,0
