file_path,ndcg_mean,mrr_mean,kendall_tau_distance_mean
./result/ranklib/zipkin/zipkin_MART_result.csv,0.9239903647444514,0.5780203784570597,0.17051551069018314
./result/ranklib/zipkin/zipkin_RankNet_result.csv,0.7413534650230037,0.26165349691550566,0.5025293483808767
./result/ranklib/zipkin/zipkin_RankBoost_result.csv,0.8461777165332984,0.44669716503777634,0.3127677271782075
./result/ranklib/zipkin/zipkin_AdaRank_result.csv,0.8248269292208449,0.3944894988563111,0.34279129410133774
./result/ranklib/zipkin/zipkin_Coordinate_Ascent_result.csv,0.8653145175717556,0.46657498251384716,0.2981565499032748
./result/ranklib/zipkin/zipkin_LambdaMART_result.csv,0.9378042485876725,0.590268247036806,0.19166241327813377
./result/ranklib/zipkin/zipkin_ListNet_result.csv,0.8584455663096565,0.44962223608511814,0.29282374588051446
./result/ranklib/zipkin/zipkin_Random_Forests_result.csv,0.9419103103069806,0.5941775836972344,0.16107582373957918
./result/xgboost/zipkin/zipkin_xgboost_result.csv,0.8590189104830999,0.45390413807444385,0.3299060473732962
./result/bayesian_network/zipkin/zipkin_bayesian_network_result.csv,0.9135302100719815,0.5463453940528176,0.2191594674127425
./result/fifo/zipkin_FIFO_result.csv,0.7444081827025664,0.36096920134513427,0.48396954263032166
./result/small_size_first/zipkin_small_size_first_result.csv,0.7795129972538715,0.3563554479372314,0.38702649778534015
