日期,ndgc,mrr,kendall_tau_distance
2011-05-23,1.0,1.0,0
2011-05-24,1.0,0.5,0.0
2011-05-31,1.0,1.0,0
2011-06-01,1.0,1.0,0.0
2011-06-21,1.0,1.0,0
2011-06-25,1.0,1.0,0
2011-07-07,1.0,1.0,0.0
2011-07-08,1.0,1.0,0
2011-07-17,1.0,1.0,0
2011-09-09,1.0,1.0,0
2011-09-17,1.0,1.0,0
2011-09-20,1.0,1.0,0.0
2011-09-24,1.0,1.0,0
2011-09-25,1.0,0.5,0.0
2011-09-30,1.0,1.0,0
2011-10-04,1.0,1.0,0
2011-10-09,1.0,1.0,0
2011-10-10,1.0,0.5,0.0
2011-10-16,1.0,0.3333333333333333,0.0
2011-10-17,1.0,1.0,0
2011-10-30,1.0,1.0,0
2011-10-31,1.0,1.0,0
2011-11-07,1.0,0.5,0.0
2011-11-09,0.867840425729475,0.125,0.6785714285714286
2011-11-10,1.0,1.0,0
2011-11-12,0.981610471570926,0.14285714285714285,0.2857142857142857
2011-11-13,0.9933287107083812,0.5,0.2
2011-11-14,0.7897356127286639,0.05263157894736842,0.6666666666666666
2011-11-15,1.0,0.3333333333333333,0.0
2011-11-16,0.8597186998521972,0.5,1.0
2011-11-17,0.9509457695419298,0.5,1.0
2011-11-20,1.0,1.0,0
2011-11-21,1.0,1.0,0
2011-11-22,1.0,0.5,0.0
2011-11-23,0.7444969852133732,0.09090909090909091,0.7272727272727273
2011-11-24,0.9188222001328618,0.3333333333333333,0.5
2011-11-26,0.9914312802044838,0.09090909090909091,0.18181818181818182
2011-11-27,0.9309784217330193,0.14285714285714285,0.5714285714285714
2011-11-28,0.9834114722632786,1.0,0.3333333333333333
2011-11-30,1.0,1.0,0
2011-12-01,1.0,0.5,0.0
2011-12-02,0.8514566731809544,0.16666666666666666,0.3333333333333333
2011-12-03,1.0,1.0,0
2011-12-04,0.7979784230390337,0.25,0.6666666666666666
2011-12-05,0.9540025958322529,0.5,0.3333333333333333
2011-12-06,0.9371408470281349,0.3333333333333333,0.5
2011-12-07,0.7612864884628315,0.25,0.7
2011-12-08,0.7699949922873548,0.125,0.6428571428571429
2011-12-09,0.9134015924715543,0.5,1.0
2011-12-11,0.8231817979910552,0.5,1.0
2011-12-12,0.9110983816788429,0.2,0.4
2011-12-13,1.0,0.5,0.0
2011-12-15,0.8231817979910552,0.5,1.0
2011-12-16,1.0,1.0,0.0
2011-12-18,0.7851144250702093,0.5,0.6666666666666666
2011-12-19,0.7042233725963557,0.3333333333333333,1.0
2011-12-20,0.8018233720975126,0.16666666666666666,0.42857142857142855
2011-12-21,0.7722312441813673,0.3333333333333333,0.6666666666666666
2011-12-22,0.7378264247076022,0.5,1.0
2011-12-24,0.8597186998521972,0.5,1.0
2011-12-26,0.8887223390544889,0.2,0.4
2011-12-27,0.7999412978422248,0.25,0.6666666666666666
2011-12-28,1.0,1.0,0
2011-12-30,1.0,1.0,0.0
2012-01-01,1.0,1.0,0
2012-01-03,0.9594837158787023,1.0,0.5
2012-01-04,0.951835190502774,0.1111111111111111,0.3888888888888889
2012-01-05,0.8895674005791716,0.16666666666666666,0.6
2012-01-06,0.948126356478145,1.0,0.47619047619047616
2012-01-07,0.8929112054732131,0.5,1.0
2012-01-08,0.9124478831501355,0.25,0.38095238095238093
2012-01-09,0.8626038323155761,0.25,0.6
2012-01-10,1.0,1.0,0
2012-01-11,0.7839924215367718,0.14285714285714285,0.6785714285714286
2012-01-12,1.0,1.0,0
2012-01-13,0.981940752713084,0.25,0.5
2012-01-14,0.8357245262895407,0.25,0.6666666666666666
2012-01-15,0.9357325522240661,0.25,0.5
2012-01-16,1.0,0.2,0.0
2012-01-17,1.0,1.0,0
2012-01-18,0.9638601396276669,0.14285714285714285,0.21428571428571427
2012-01-19,0.8988373593227149,0.3333333333333333,0.5
2012-01-20,1.0,1.0,0.0
2012-01-21,1.0,1.0,0.0
2012-01-22,1.0,0.5,0.0
2012-01-23,1.0,1.0,0.0
2012-01-24,0.9516369845863707,0.16666666666666666,0.6
2012-01-26,0.9132382125934204,0.5,0.6666666666666666
2012-01-27,0.9036904578863016,0.5,0.6666666666666666
2012-01-29,0.9323665287394267,0.3333333333333333,0.6666666666666666
2012-01-30,0.8651086895633562,0.25,0.6
2012-01-31,0.8891809465236166,0.3333333333333333,1.0
2012-02-01,0.9253387236165173,0.1111111111111111,0.3888888888888889
2012-02-02,0.9323665287394267,0.3333333333333333,0.6666666666666666
2012-02-03,1.0,1.0,0.0
2012-02-04,1.0,1.0,0.0
