pr_number,priorities_number,author_identity,has_labels,mergable_state,has_assignees_content,self_accept_rate,self_closed_num_rate,self_contribution_rate,project_accept_rate,is_weekday,comment_num,review_comment_num,commit_num,file_changed_num,total_add_line,total_delete_line,label_count,workload,pre_prs,change_num,accept_num,close_num,review_num,participants_count,title_words,body_words,has_bug,has_document,has_feature,has_improve,has_refactor,deletions_per_week,additions_per_week,changes_per_week,per_lines_deleted_week_days,per_lines_added_week_days,per_lines_changed_week_days,deletions_per_pr,additions_per_pr,changes_per_pr,commits_average,comments_per_closed_pr,comments_per_merged_pr,close_latency,merge_latency
1,4,0,0,2,0,1,0,0,1,1,1,0,4,10,147,105,0,0,0,0,0,0,0,2,2,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,0,0,2,0,1,0,0.0,0.0,1,1,0,2,2,5,2,0,1,0,0,0,0,0,2,7,23,0,0,0,0,0,0,0,0,105.0,147.0,252.0,105.0,147.0,252.0,4.0,0,0,0,0
3,4,0,0,2,0,0.0,1.0,0.5,0.0,1,1,0,1,1,5,1,0,0,1,252,0,1,0,2,6,0,0,0,0,0,0,0,0,0,53.5,76.0,129.5,53.5,76.0,129.5,3.0,1.0,0,1.0,0
4,3,0,0,2,0,0.0,1.0,0.3333333333333333,0.0,1,1,0,2,2,2,1,0,0,1,7,0,1,0,2,6,0,0,0,0,0,0,0,0,0,36.0,52.333333333333336,88.33333333333333,36.0,52.333333333333336,88.33333333333333,2.3333333333333335,1.0,0,1.0,0
6,3,0,1,2,0,0.0,1.0,0.5,0.0,1,1,0,1,1,3,3,1,0,2,258,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,27.25,39.75,67.0,2.25,1.0,0,1.0,0
9,3,0,0,2,0,0.0,0.6666666666666666,0.6,0.0,1,1,0,1,3,57,1,0,1,3,264,0,2,0,2,4,8,0,0,0,0,0,0,0,0,3.0,3.0,6.0,22.4,32.4,54.8,2.0,1.0,0,1.0,0
10,1,0,0,2,0,0.0,1.0,0.3333333333333333,0.0,1,2,3,2,1,39,0,0,0,2,10,0,2,0,2,12,0,0,0,0,0,0,0,0,0,2.0,30.0,32.0,18.833333333333332,36.5,55.333333333333336,1.8333333333333333,1.0,0,1.0,0
11,4,0,0,2,0,0.0,1.0,0.5714285714285714,0.0,1,1,0,4,38,299,552,0,1,4,322,0,4,0,1,2,12,0,0,0,0,0,0,0,0,1.3333333333333333,33.0,34.333333333333336,16.142857142857142,36.857142857142854,53.0,1.8571428571428572,1.0,0,1.0,0
13,0,0,0,2,0,0.0,1.0,0.625,0.0,1,1,4,9,10,180,40,0,0,5,1173,0,5,1,2,2,14,0,0,0,0,0,0,0,0,0,0,0,83.125,69.625,152.75,2.125,1.125,0,1.0,0
14,0,0,0,2,0,0.0,1.0,0.3333333333333333,0.0,1,2,0,1,1,1,1,0,1,3,49,0,3,0,3,9,0,0,0,0,0,0,0,0,0,40.0,180.0,220.0,78.33333333333333,81.88888888888889,160.22222222222223,2.888888888888889,1.125,0,1.0,0
16,3,0,0,2,0,0.0,0.8333333333333334,0.6,0.0,1,1,0,1,2,19,13,0,1,6,1393,0,5,0,2,4,11,0,0,0,0,0,706.0,738.0,1444.0,0,0,0,70.6,73.8,144.4,2.7,1.2222222222222223,0,1.2222222222222223,0
18,4,0,0,2,0,0.0,1.0,0.36363636363636365,0.0,1,1,0,1,2,4,3,0,0,4,51,0,4,0,2,11,0,0,0,0,0,0,706.0,738.0,1444.0,0,0,0,65.36363636363636,68.81818181818181,134.1818181818182,2.5454545454545454,1.1818181818181819,0,1.4545454545454546,0
19,3,0,0,2,0,0.0,1.0,0.5833333333333334,0.0,1,1,0,4,28,368,982,0,1,7,1425,0,7,0,2,2,29,0,0,0,0,0,706.0,738.0,1444.0,3.0,4.0,7.0,60.166666666666664,63.416666666666664,123.58333333333333,2.4166666666666665,1.1818181818181819,0,1.4545454545454546,0
20,3,0,0,2,0,0.0,0.875,0.6153846153846154,0.0,1,1,0,1,9,39,6,0,1,8,2775,0,7,0,2,5,57,0,0,0,0,0,706.0,738.0,1444.0,492.5,186.0,678.5,131.07692307692307,86.84615384615384,217.92307692307693,2.5384615384615383,1.1666666666666667,0,1.4166666666666667,0
21,4,0,0,2,0,0.0,1.0,0.6428571428571429,0.0,1,1,0,1,7,7,4,0,0,9,2820,0,9,0,2,4,16,0,0,0,0,0,706.0,738.0,1444.0,330.3333333333333,137.0,467.3333333333333,122.14285714285714,83.42857142857143,205.57142857142858,2.4285714285714284,1.1428571428571428,0,1.3571428571428572,0
23,2,0,0,2,0,0.0,1.0,0.6666666666666666,0.0,1,1,0,1,1,7,2,0,0,10,2831,0,10,0,2,8,0,0,0,0,0,0,706.0,738.0,1444.0,27.25,39.75,67.0,114.26666666666667,78.33333333333333,192.6,2.3333333333333335,1.1333333333333333,0,1.3333333333333333,0
24,1,0,0,2,0,0.0,0.9090909090909091,0.6875,0.0,1,1,3,6,31,446,179,0,1,11,2840,0,10,1,2,1,80,0,0,0,0,1,706.0,738.0,1444.0,22.2,33.2,55.4,107.25,73.875,181.125,2.25,1.1333333333333333,0,1.3333333333333333,0
25,3,0,0,2,0,0.0,1.0,0.29411764705882354,0.0,1,1,0,1,5,42,11,0,1,5,58,0,5,0,2,9,11,0,0,0,0,0,706.0,738.0,1444.0,48.333333333333336,102.0,150.33333333333334,111.47058823529412,95.76470588235294,207.23529411764707,2.4705882352941178,1.125,0,1.3125,0
26,1,0,0,2,0,0.0,1.0,0.6666666666666666,0.0,1,1,0,1,1,1,1,0,0,12,3465,0,12,0,2,5,0,0,0,0,0,0,706.0,738.0,1444.0,43.0,93.42857142857143,136.42857142857142,105.88888888888889,92.77777777777777,198.66666666666666,2.388888888888889,1.1111111111111112,0,1.2777777777777777,0
27,3,0,0,2,0,0.0,1.0,0.6842105263157895,0.0,1,1,0,2,12,132,55,0,0,13,3467,0,13,0,2,5,29,0,0,0,0,0,706.0,738.0,1444.0,139.0,99.5,238.5,100.36842105263158,87.94736842105263,188.31578947368422,2.3157894736842106,1.105263157894737,0,1.263157894736842,0
28,4,0,0,2,0,0.0,1.0,0.3,0.0,1,1,0,1,2,52,4,0,0,6,111,0,6,0,2,8,0,0,0,0,0,0,706.0,738.0,1444.0,122.2,106.0,228.2,98.1,90.15,188.25,2.3,1.1,0,1.25,0
29,4,0,0,2,0,0.0,1.0,0.3333333333333333,0.0,1,1,0,1,1,0,0,0,0,7,167,0,7,0,2,7,0,0,0,0,0,0,706.0,738.0,1444.0,102.5,97.0,199.5,93.61904761904762,88.33333333333333,181.95238095238096,2.238095238095238,1.0952380952380953,0,1.2380952380952381,0
31,3,0,0,2,0,0.0,1.0,0.6363636363636364,0.0,1,1,2,11,25,486,137,0,0,14,3654,0,14,1,2,5,85,0,0,0,0,0,706.0,738.0,1444.0,87.85714285714286,83.14285714285714,171.0,89.36363636363636,84.31818181818181,173.6818181818182,2.1818181818181817,1.0909090909090908,0,1.2272727272727273,0
32,4,0,0,2,0,0.0,1.0,0.34782608695652173,0.0,1,1,2,2,3,8,1,0,0,8,167,0,8,3,2,11,0,0,0,0,0,0,706.0,738.0,1444.0,94.0,133.5,227.5,91.43478260869566,101.78260869565217,193.2173913043478,2.5652173913043477,1.0869565217391304,0,1.2173913043478262,0
33,4,0,0,2,0,0.0,1.0,0.625,0.0,1,1,0,1,1,2,0,0,0,15,4277,0,15,0,2,6,0,0,0,0,0,0,706.0,738.0,1444.0,20.5,90.5,111.0,87.66666666666667,97.875,185.54166666666666,2.5416666666666665,1.0833333333333333,0,1.2083333333333333,0
