pr_number,priorities_number,author_identity,has_labels,mergable_state,has_assignees_content,self_accept_rate,self_closed_num_rate,self_contribution_rate,project_accept_rate,is_weekday,comment_num,review_comment_num,commit_num,file_changed_num,total_add_line,total_delete_line,label_count,workload,pre_prs,change_num,accept_num,close_num,review_num,participants_count,title_words,body_words,has_bug,has_document,has_feature,has_improve,has_refactor,deletions_per_week,additions_per_week,changes_per_week,per_lines_deleted_week_days,per_lines_added_week_days,per_lines_changed_week_days,deletions_per_pr,additions_per_pr,changes_per_pr,commits_average,comments_per_closed_pr,comments_per_merged_pr,close_latency,merge_latency
2225,1,2,0,0,0,0.9743975903614458,0.9954819277108434,0.4739471805852962,0.7116345467523197,1,0,0,6,7,721,8,0,12,664,314610,648,661,0,1,4,0,0,0,0,0,0,1098.30859375,1221.13671875,2319.4453125,161.41287878787878,170.16666666666666,331.57954545454544,200.7066381156317,223.1720199857245,423.87865810135617,2.2619557458957886,2.4463642908567316,2.2266800401203612,8.01511879049676,3.3701103309929787
2226,4,1,0,2,0,0.85,1.0,0.014265335235378032,0.7111269614835949,1,0,0,1,1,151,0,0,13,20,16107,17,20,0,1,2,0,0,0,0,0,0,1098.30859375,1221.13671875,2319.4453125,160.83396226415095,172.24528301886792,333.07924528301885,200.56918687589157,223.52710413694723,424.0962910128388,2.2646219686162623,2.4463642908567316,2.2266800401203612,8.01511879049676,3.3701103309929787
2227,3,1,0,2,0,0.8571428571428571,1.0,0.01496792587312901,0.7113328581610834,1,1,0,1,1,200,0,0,13,21,16258,18,21,0,2,2,0,0,0,0,0,0,1098.30859375,1221.13671875,2319.4453125,160.22932330827066,172.1654135338346,332.39473684210526,200.4262295081967,223.47540983606558,423.9016393442623,2.263720598717035,2.4446043165467626,2.224448897795591,8.010071942446043,3.367735470941884
2228,3,2,1,0,0,0.9744360902255639,0.9954887218045113,0.47364672364672367,0.7122507122507122,1,3,0,1,2,3,4,2,12,665,315339,649,662,0,2,8,46,0,0,0,0,0,1098.30859375,1221.13671875,2319.4453125,136.35655737704917,267.0327868852459,403.3893442622951,200.28347578347578,223.45868945868946,423.74216524216524,2.2628205128205128,2.4418103448275863,2.221,8.0,3.363
2229,2,2,1,0,0,0.9744744744744744,0.9954954954954955,0.4740213523131673,0.7124555160142348,1,1,0,1,5,134,8,2,12,666,315346,650,663,0,1,10,21,0,0,0,0,0,1098.30859375,1221.13671875,2319.4453125,135.81632653061226,265.9551020408163,401.77142857142854,200.14377224199288,223.3017793594306,423.44555160142346,2.2619217081850533,2.442211055276382,2.2217782217782216,7.994974874371859,3.3606393606393605
2231,1,1,0,0,0,0.8636363636363636,1.0,0.015647226173541962,0.7126600284495022,1,6,1,3,23,175,174,0,12,22,16458,19,22,8,3,9,0,0,0,0,0,0,1098.30859375,1221.13671875,2319.4453125,518.8523206751055,255.0590717299578,773.9113924050633,200.00711237553344,223.23826458036984,423.2453769559033,2.2610241820768135,2.4411764705882355,2.220558882235529,7.989956958393114,3.3582834331337326
2232,1,2,1,0,0,0.974512743628186,0.9955022488755623,0.47405828002842926,0.7121535181236673,1,0,1,1,5,105,84,2,13,667,315488,651,664,280,1,8,44,1,0,0,0,0,1098.30859375,1221.13671875,2319.4453125,517.4033613445379,254.72268907563026,772.1260504201681,199.98862828713575,223.20398009950247,423.19260838663826,2.261549395877754,2.4411764705882355,2.220558882235529,7.989956958393114,3.3582834331337326
2233,1,2,0,0,0,0.9745508982035929,0.9955089820359282,0.4744318181818182,0.7123579545454546,1,3,0,2,9,847,208,0,13,668,315677,652,665,0,1,8,62,0,0,0,0,1,1098.30859375,1221.13671875,2319.4453125,126.87441860465117,326.51627906976745,453.3906976744186,199.90625,223.1200284090909,423.02627840909093,2.260653409090909,2.439426523297491,2.218344965104686,7.98494623655914,3.3559322033898304
2234,1,2,0,0,0,0.9745889387144993,0.9955156950672646,0.47480482611781405,0.7132718239886444,0,4,3,1,10,118,100,0,12,669,316732,653,666,281,2,11,77,0,0,0,0,0,1098.30859375,1221.13671875,2319.4453125,49.96825396825397,81.57936507936508,131.54761904761904,199.91199432221433,223.56281050390348,423.4748048261178,2.2604684173172465,2.4423765211166786,2.2228855721393033,7.975662133142448,3.352238805970149
2235,2,2,1,0,0,0.9746268656716418,0.9955223880597015,0.475177304964539,0.7134751773049646,1,2,1,3,2,105,34,2,12,670,316950,654,667,282,2,6,11,1,0,0,0,0,1096.4046692607003,1226.1400778210116,2322.544747081712,167.99086757990867,232.56164383561645,400.5525114155251,199.84113475177304,223.48794326241133,423.3290780141844,2.2595744680851064,2.4434907010014304,2.224652087475149,7.970672389127325,3.349900596421471
2237,2,0,0,0,0,1,0,0.0,0.7136782423812899,1,0,0,2,1,1,1,0,12,0,0,0,0,0,1,2,17,0,0,0,0,0,1096.4046692607003,1226.1400778210116,2322.544747081712,159.62921348314606,172.26966292134833,331.8988764044944,199.7236002834869,223.40396881644224,423.12756909992913,2.260099220411056,2.4431736954967835,2.224428997020854,7.965689778413152,3.3475670307845085
2238,2,2,1,0,0,0.9746646795827124,0.9955290611028316,0.4752124645892351,0.7131728045325779,1,3,0,1,5,6,0,2,13,671,317089,655,668,0,1,13,14,0,0,0,0,0,1096.4046692607003,1226.1400778210116,2322.544747081712,159.03731343283582,171.63059701492537,330.6679104477612,199.5828611898017,223.24645892351276,422.82932011331445,2.259915014164306,2.4431736954967835,2.224428997020854,7.965689778413152,3.3475670307845085
2241,0,1,0,0,0,0.8695652173913043,1.0,0.01627742392073602,0.7133757961783439,1,4,0,4,2,550,0,0,12,23,16807,20,23,0,2,7,0,0,0,0,0,0,1096.4046692607003,1226.1400778210116,2322.544747081712,158.4460966542751,171.01486988847583,329.46096654275095,199.4416135881104,223.09271054493985,422.53432413305023,2.259023354564756,2.441827266238401,2.2222222222222223,7.955745895788723,3.3452380952380953
2243,2,2,1,0,0,0.9732142857142857,0.9955357142857143,0.4752475247524752,0.7128712871287128,1,0,0,2,4,90,9,2,12,672,317095,655,669,0,1,6,268,0,0,0,0,0,1096.4046692607003,1226.1400778210116,2322.544747081712,515.5899581589958,254.09623430962344,769.6861924686192,199.3005657708628,223.3239038189533,422.6244695898161,2.2602545968882604,2.451497860199715,2.2222222222222223,8.211840228245364,3.3452380952380953
