Id,author_identity,has_labels,mergable_state,has_assignees_content,comment_num,review_comment_num,commit_num,file_changed_num,total_add_line,total_delete_line,self_accept_rate,self_closed_num_rate,self_contribution_rate,project_accept_rate,is_weekday,label_count,workload,pre_prs,change_num,accept_num,close_num,review_num,participants_count,title_words,body_words,has_bug,has_document,has_feature,has_improve,has_refactor,deletions_per_week,additions_per_week,changes_per_week,per_lines_deleted_week_days,per_lines_added_week_days,per_lines_changed_week_days,deletions_per_pr,additions_per_pr,changes_per_pr,commits_average,comments_per_closed_pr,comments_per_merged_pr,close_latency,merge_latency,response_speed,if_merged
0,1,0,2,0,1,0,0,1,1,0.016666666666666666,0.0,0.0001,0.0005005005005005005,9.504312106402676e-06,7.677637498809966e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.36,0.003787878787878788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7443.7,0
1,1,0,2,0,0.0,1.0,1.0,0.0,1,0.08333333333333333,0.0,0.0019,0.024399399399399398,0.010047958758888908,0.004339400714327393,0.0,0.0,0.001567398119122257,3.970617431010522e-05,0.0,0.001567398119122257,0.0,0.07692307692307693,0.16,0.007376395534290271,0.0,0.0,0.0,0.0,0.0,0.000548652906700069,0.0004444376965981193,0.0005186916564993622,0.002884821583571324,0.0006415849715136273,0.0012265423770391267,0.0035323207347227126,0.0016208428382759035,0.002462447672986949,0.048187884338610494,0.3333333333333333,0.0,0.24781239061953098,0.0,529.4666666666667,0
2,1,0,2,0,0.0,1.0,1.0,0.0,0,0.03333333333333333,0.0,0.0001,0.0006256256256256256,0.0005854656257544047,9.21316499857196e-06,0.0,0.0,0.003134796238244514,0.03224935477466746,0.0,0.003134796238244514,0.0,0.038461538461538464,0.12,0.004984051036682616,0.0,0.0,1.0,0.0,0.0,0.000548652906700069,0.0004444376965981193,0.0005186916564993622,0.0,0.0,0.0,1.0,0.8575879457317805,1.0,0.481878843386105,1.0,0.0,0.18585929296464823,0.0,286.75,0
3,1,0,2,0,0.0,1.0,1.0,0.0,1,0.016666666666666666,0.0,0.0002,0.0012512512512512512,4.752156053201338e-05,3.992371499381182e-05,0.0,0.0,0.004702194357366771,0.03349612864800477,0.0,0.004702194357366771,0.0,0.038461538461538464,0.32,0.003987240829346092,0.0,0.0,0.0,0.0,0.0,0.1556528296308096,0.24884066632528698,0.21878414071143099,0.0,0.0,0.0,0.6680795949605557,0.6050066034337855,0.6924402856439301,0.33731519037027347,0.8888888888888888,0.0,0.13767355034418388,0.0,250.21666666666667,0
4,1,0,2,1,0.0,1.0,1.0,0.0,1,0.05,0.0,0.0001,0.00025025025025025025,3.2314661161769094e-05,2.4568439996191892e-05,0.0,0.0,0.006269592476489028,0.033698630136986304,0.0,0.006269592476489028,0.0,0.07692307692307693,0.28,0.006379585326953748,0.0,0.0,0.0,0.0,0.0,0.1556528296308096,0.24884066632528698,0.21878414071143099,0.015001072234570886,0.0032079248575681363,0.0062553661228995465,0.5056517131755563,0.45578100612318406,0.5224698350160059,0.27708033494701034,0.75,0.0,0.11358067903395169,0.0,303.78333333333336,0
5,1,0,2,0,0.0,1.0,1.0,0.0,1,0.0,0.0,0.0001,0.00025025025025025025,3.80172484256107e-06,0.0,0.0,0.0,0.007836990595611285,0.03382966051220965,0.0,0.007836990595611285,0.0,0.0,0.28,0.011164274322169059,0.0,0.0,0.0,0.0,0.0,0.1556528296308096,0.24884066632528698,0.21878414071143099,0.0,0.0,0.0,0.40678205581066756,0.3657269780285749,0.4196010834769761,0.23130184482533037,0.7999999999999999,0.0,0.09912495624781238,0.0,21482.1,0
6,0,0,2,0,1,0,0.0,0.0,1,0.0,0.0,0.0001,0.00012512512512512512,1.3306036948963745e-05,1.0748692498333953e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.10530478122596659,0.16719746146021247,0.14734300988958549,0.0,0.0,0.0,0.33898504650888966,0.30488053787969743,0.3497496511532463,0.2007828514108771,0.6666666666666666,0.0,0.18585929296464823,0.0,23.133333333333333,1
7,1,0,2,0,1,0,0.0,0.14285714285714285,1,0.05,0.0,0.0001,0.0017517517517517517,0.0004980259543755002,0.0003992371499381182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.28,0.01375598086124402,0.0,0.0,0.0,0.0,0.0,0.07917061443681997,0.1255536492889687,0.11068879949696389,0.004038750216999854,0.0008982189601190782,0.0017171593278547774,0.2912650754402785,0.26165034389311015,0.3002779048088085,0.1789835704005533,0.5714285714285714,0.0,0.16520826041302064,0.336734693877551,737.3,0
8,0,0,2,0,1,0,0.0,0.125,1,0.016666666666666666,0.0,0.0001,0.00012512512512512512,3.80172484256107e-06,3.0710549995239865e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.16,0.00259170653907496,0.0,0.0,0.0,0.0,0.0,0.0690424817791367,0.10510062649152326,0.09396618049142445,0.0,0.0,0.0,0.27781702578594136,0.23956057149717855,0.2788106377739473,0.16263410964281041,0.625,0.0,0.14971998599929998,0.336734693877551,7.033333333333333,1
9,0,0,2,0,1,0,0.0,0.2222222222222222,1,0.0,0.0,0.0001,0.00012512512512512512,3.80172484256107e-06,6.142109999047973e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0690424817791367,0.10510062649152326,0.09396618049142445,0.0011539286334285297,0.0002566339886054509,0.0004906169508156506,0.24710545939793555,0.21301476767919317,0.24794112014008593,0.14991786238678823,0.5925925925925926,0.2872340425531915,0.13767355034418388,0.336734693877551,211.88333333333333,1
