file_path,ndcg_mean,mrr_mean,kendall_tau_distance_mean
./result/ranklib/netbeans/netbeans_MART_result.csv,0.7619243927782632,0.20014559455195707,0.27574036849964695
./result/ranklib/netbeans/netbeans_RankNet_result.csv,0.6241548950851399,0.056154598908022456,0.433888362731846
./result/ranklib/netbeans/netbeans_RankBoost_result.csv,0.7136717419093864,0.1369066437097116,0.32647205237222415
./result/ranklib/netbeans/netbeans_AdaRank_result.csv,0.676725866804378,0.09851505947793468,0.3535167797123733
./result/ranklib/netbeans/netbeans_Coordinate_Ascent_result.csv,0.7118897439491161,0.13167293488379933,0.32355384711780094
./result/ranklib/netbeans/netbeans_LambdaMART_result.csv,0.7242342893266404,0.1500452430242405,0.31698284917789693
./result/ranklib/netbeans/netbeans_ListNet_result.csv,0.7036161418380366,0.13395403196286604,0.3339099770696329
./result/ranklib/netbeans/netbeans_Random_Forests_result.csv,0.775843062008973,0.22024772261453526,0.2619602654389718
./result/xgboost/netbeans/netbeans_xgboost_result.csv,0.787795387248359,0.20704628254847784,0.2430753166845823
./result/bayesian_network/netbeans/netbeans_bayesian_network_result.csv,0.691551651605736,0.11572754486384998,0.3345160646129565
./result/fifo/netbeans_FIFO_result.csv,0.6829818159834272,0.048756343252742605,0.442509635522646
./result/small_size_first/netbeans_small_size_first_result.csv,0.674538810315502,0.032730218194855894,0.48010947369713947
